Name,GivenName,Surname,SamAccountName,UserPrincipalName
Harvey Find,Harvey,Find,findh,findh@ramsey.local
Ivan Peg,Ivan,Peg,pegi,pegi@ramsey.local
Florence Rind,Florence,Rind,rindf,rindf@ramsey.local
Julius Mend,Julius,Mend,mendj,mendj@ramsey.local
Konrad Ping,Konrad,Ping,pingk,pingk@ramsey.local
Alvin York,Alvin,York,yorka,yorka@ramsey.local
Frances Leonard,Frances,Leonard,leonardf,leonardf@ramsey.local
Peggy Potter,Peggy,Potter,potterp,potterp@ramsey.local
Amy Pittman,Amy,Pittman,pittmana,pittmana@ramsey.local
Homer Schneider,Homer,Schneider,schneiderh,schneiderh@ramsey.local
Travis Spencer,Travis,Spencer,spencert,spencert@ramsey.local
Raymond Barnett,Raymond,Barnett,barnettr,barnettr@ramsey.local
Faye Mckenzie,Faye,Mckenzie,mckenzief,mckenzief@ramsey.local
Darrin Mcdaniel,Darrin,Mcdaniel,mcdanield,mcdanield@ramsey.local
Mona Bailey,Mona,Bailey,baileym,baileym@ramsey.local
Ida Washington,Ida,Washington,washingtoni,washingtoni@ramsey.local
Maggie Tate,Maggie,Tate,tatem,tatem@ramsey.local
Stacey Chambers,Stacey,Chambers,chamberss,chamberss@ramsey.local
Lucia Kennedy,Lucia,Kennedy,kennedyl,kennedyl@ramsey.local
