findh Harvey Find
pegi Ivan Peg
rindf Florence Rind
mendj Julius Mend
pingk Konrad Ping
yorka Alvin York
leonardf Frances Leonard
potterp Peggy Potter
pittmana Amy Pittman
schneiderh Homer Schneider
spencert Travis Spencer
barnettr Raymond Barnett
mckenzief Faye Mckenzie
mcdanield Darrin Mcdaniel
baileym Mona Bailey
washingtoni Ida Washington
tatem Maggie Tate
chamberss Stacey Chambers
kennedyl Lucia Kennedy
ortegae Ethel Ortega
cohenj Jim Cohen
fordr Randal Ford
blackj Jo Black
coxl Lana Cox
frazierm Molly Frazier
mcbrides Shelia Mcbride
colonnw Willie Colonnade
clarkeb Bertha Clarke
delgadon Nettie Delgado
tuckerw William Tucker
loganp Paul Logan
byrdb Brent Byrd
parkerm Mack Parker
watersb Brandi Waters
connerd Dave Conner
hillj Jane Hill
